geographicaream49,country,region,measureditemcpc,crop,timepointyears,loss_per_clean,percentage_loss_of_quantity,loss_quantity,loss_qualitiative,loss_monetary,activity,fsc_location1,periodofstorage,treatment,causeofloss,samplesize,units,method_datacollection,tag_datacollection,reference,url
840,United States of America,,1290.9,"Other vegetables, fresh n.e.",2012,8,8,,,,,Retail,,,,,,Supply Mass Per Capita,-,Buzby and Hyman 2012,http://ucce.ucdavis.edu/files/datastore/234-2425.pdf
840,United States of America,National,1290.9,"Other vegetables, fresh n.e.",2012,9,9,,,,,Retail,,,,estimated national annual average retail prices using Nielsen Homescan data for each food consume...,,Estimated the amount of food loss at both the retail and consumer level in 2008 for each food in ...,Modelled,Buzby and Hyman,http://ac.els-cdn.com/S0306919212000693/1-s2.0-S0306919212000693-main.pdf?_tid=c0f06a20-b878-11e6-8c5e-00000aab0f26&acdnat=1480674125_7a87adb11c23b174482e352a2f62d41f
840,United States of America,,1290.9,"Other vegetables, fresh n.e.",2012,9,9,,,,,Retail,,,,,,Food Supply Value,-,Buzby and Hyman 2012,http://ucce.ucdavis.edu/files/datastore/234-2425.pdf
840,United States of America,National,1290.9,"Other vegetables, fresh n.e.",2012,11,11,,,,,Retail,,,,estimated national annual average retail prices using Nielsen Homescan data for each food consume...,,Estimated the amount of food loss at both the retail and consumer level in 2008 for each food in ...,Modelled,Buzby and Hyman,http://ac.els-cdn.com/S0306919212000693/1-s2.0-S0306919212000693-main.pdf?_tid=c0f06a20-b878-11e6-8c5e-00000aab0f26&acdnat=1480674125_7a87adb11c23b174482e352a2f62d41f
840,United States of America,,1359.9,"Other fruits, n.e.",2012,9,9,,,,,Retail,,,,,,Food Supply Value,-,Buzby and Hyman 2012,http://ucce.ucdavis.edu/files/datastore/234-2425.pdf
840,United States of America,,1359.9,"Other fruits, n.e.",2012,9,9,,,,,Retail,,,,,,Supply Mass Per Capita,-,Buzby and Hyman 2012,http://ucce.ucdavis.edu/files/datastore/234-2425.pdf
840,United States of America,National,1359.9,"Other fruits, n.e.",2012,9,9,,,,,Retail,,,,estimated national annual average retail prices using Nielsen Homescan data for each food consume...,,Estimated the amount of food loss at both the retail and consumer level in 2008 for each food in ...,Modelled,Buzby and Hyman,http://ac.els-cdn.com/S0306919212000693/1-s2.0-S0306919212000693-main.pdf?_tid=c0f06a20-b878-11e6-8c5e-00000aab0f26&acdnat=1480674125_7a87adb11c23b174482e352a2f62d41f
840,United States of America,,1359.9,"Other fruits, n.e.",2012,9,9,,,,,Retail,,,,,,Food Supply Value,-,Buzby and Hyman 2012,http://ucce.ucdavis.edu/files/datastore/234-2425.pdf
840,United States of America,,1359.9,"Other fruits, n.e.",2012,9,9,,,,,Retail,,,,,,Supply Mass Per Capita,-,Buzby and Hyman 2012,http://ucce.ucdavis.edu/files/datastore/234-2425.pdf
840,United States of America,,1290.9,"Other vegetables, fresh n.e.",2008,9,9%,,,9174M USD,Retail,Retail,,,,,,,Modelled,"J.C. Buzby, J. Hyman / Food Policy 37 (2012) 561â€“570",
840,United States of America,,1359.9,"Other fruits, n.e.",2008,9,9,,,,,Retail,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,Food Policy 37 (2012) 561â€“570,https://www.sciencedirect.com/science/article/abs/pii/S0306919212000693?via%3Dihub
840,United States of America,,1359.9,"Other fruits, n.e.",2008,11,11,,,,,Retail,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,Food Policy 37 (2012) 561â€“570,https://www.sciencedirect.com/science/article/abs/pii/S0306919212000693?via%3Dihub
840,United States of America,,1359.9,"Other fruits, n.e.",2008,12,12,,,,,Retail,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,Food Policy 37 (2012) 561â€“570,https://www.sciencedirect.com/science/article/abs/pii/S0306919212000693?via%3Dihub
840,United States of America,,1359.9,"Other fruits, n.e.",2008,9,9%,,,5795M USD,Retail,Retail,,,,,,,Modelled,"J.C. Buzby, J. Hyman / Food Policy 37 (2012) 561â€“570",
840,United States of America,,1211,Asparagus,2006,8,8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1212,Cabbages,2006,11.8,11.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1213,Cauliflowers and broccoli,2006,11.4,11.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1213,Cauliflowers and broccoli,2006,15.1,15.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1214,Lettuce and chicory,2006,8.3,8.3,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1214,Lettuce and chicory,2006,13.3,13.3,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1215,Spinach,2006,14.4,14.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1216,Artichokes,2006,18.8,18.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1221,Watermelons,2006,14.9,14.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1229,Cantaloupes and other melons,2006,13.3,13.3,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1232,Cucumbers and gherkins,2006,5.7,5.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1233,Eggplants (aubergines),2006,21.2,21.2,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1234,Tomatoes,2006,12,12,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1235,"Pumpkins, squash and gourds",2006,9.8,9.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1235,"Pumpkins, squash and gourds",2006,12.4,12.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1239.01,Okra,2006,25.9,25.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1251,Carrots and turnips,2006,4.1,4.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1251,Carrots and turnips,2006,42.9,42.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1252,Green garlic,2006,5,5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1270,Mushrooms and truffles,2006,11.2,11.2,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1290.9,"Other vegetables, fresh n.e.",2006,8.4,8.4,,,,,Retail,,,,,,Supplier Shipment Data,-,Buzby et al. 2009,
840,United States of America,,1311,Avocados,2006,9,9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1312,Bananas,2006,6.5,6.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1317,Papayas,2006,51,51,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1318,Pineapples,2006,12.5,12.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1321,Pomelos and grapefruits,2006,12.8,12.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1322,Lemons and limes,2006,5.9,5.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1322,Lemons and limes,2006,5.5,5.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1323,Oranges,2006,10.3,10.3,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1324,"Tangerines, mandarins, clementines",2006,21.4,21.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1330,Grapes,2006,7.1,7.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1341,Apples,2006,7.8,7.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1342.01,Pears,2006,15.4,15.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1343,Apricots,2006,32.6,32.6,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1345,Peaches and nectarines,2006,9.1,9.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1346,Plums and sloes,2006,14,14,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1352,Kiwi fruit,2006,9.6,9.6,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1354,Strawberries,2006,9.5,9.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1355.01,Blueberries,2006,4.6,4.6,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1355.02,Cranberries and other fruits of the genus Vaccinium,2006,4.8,4.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1359.9,"Other fruits, n.e.",2006,8.4,8.4,,,,,Retail,,,,,,Supplier Shipment Data,-,Buzby et al. 2009,
840,United States of America,,1359.9,"Other fruits, n.e.",2006,8.4,8.4,,,,,Retail,,,,,,Supplier Shipment Data,-,Buzby et al. 2009,
840,United States of America,,1359.9,"Other fruits, n.e.",2006,8.4,8.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1211,Asparagus,2005,10.8,10.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1212,Cabbages,2005,16.4,16.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1213,Cauliflowers and broccoli,2005,12.5,12.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1213,Cauliflowers and broccoli,2005,12.9,12.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1214,Lettuce and chicory,2005,9.1,9.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1214,Lettuce and chicory,2005,14.6,14.6,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1215,Spinach,2005,14.4,14.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1216,Artichokes,2005,19.8,19.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1221,Watermelons,2005,18.7,18.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1229,Cantaloupes and other melons,2005,11.1,11.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1232,Cucumbers and gherkins,2005,6.5,6.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1233,Eggplants (aubergines),2005,21.5,21.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1234,Tomatoes,2005,14.4,14.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1235,"Pumpkins, squash and gourds",2005,12.7,12.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1235,"Pumpkins, squash and gourds",2005,12.4,12.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1239.01,Okra,2005,22.9,22.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1251,Carrots and turnips,2005,6.2,6.2,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1251,Carrots and turnips,2005,39.1,39.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1252,Green garlic,2005,9.8,9.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1270,Mushrooms and truffles,2005,14.2,14.2,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1290.9,"Other vegetables, fresh n.e.",2005,10.3,10.3,,,,,Retail,,,,,,Supplier Shipment Data,-,Buzby et al. 2009,
840,United States of America,,1311,Avocados,2005,9.7,9.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1312,Bananas,2005,9.4,9.4,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1317,Papayas,2005,58.7,58.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1318,Pineapples,2005,16.8,16.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1321,Pomelos and grapefruits,2005,12.9,12.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1322,Lemons and limes,2005,8.1,8.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1322,Lemons and limes,2005,10.9,10.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1323,Oranges,2005,12.8,12.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1324,"Tangerines, mandarins, clementines",2005,19.5,19.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1330,Grapes,2005,8.1,8.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1341,Apples,2005,9.5,9.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1342.01,Pears,2005,19.7,19.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1343,Apricots,2005,37.5,37.5,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1345,Peaches and nectarines,2005,14.8,14.8,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1346,Plums and sloes,2005,20.7,20.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1352,Kiwi fruit,2005,15.7,15.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1354,Strawberries,2005,10,10,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1355.01,Blueberries,2005,5.9,5.9,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1355.02,Cranberries and other fruits of the genus Vaccinium,2005,7.1,7.1,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
840,United States of America,,1359.9,"Other fruits, n.e.",2005,10.7,10.7,,,,,Retail,,,,,,Supplier Shipment Data,-,Buzby et al. 2009,
840,United States of America,,1359.9,"Other fruits, n.e.",2005,10.7,10.7,,,,,Retail,,,,,,Supplier Shipment Data,-,Buzby et al. 2009,
840,United States of America,,1359.9,"Other fruits, n.e.",2005,10.7,10.7,,,,,Retail,,,,,,,Modelled,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",
